iteration,n_agents,c0,m0,s0,mx0,mn0
117,50,15,0.400961,0.215656,0.800844,0.0547668
118,50,15,0.400908,0.215683,0.800751,0.0545795
119,50,15,0.400856,0.21571,0.800658,0.0543923
120,50,15,0.400803,0.215737,0.800566,0.0542053
121,50,15,0.40075,0.215765,0.800473,0.0540186
122,50,15,0.400697,0.215792,0.800381,0.0538321
123,50,15,0.400645,0.215819,0.800288,0.053646
124,50,15,0.400592,0.215846,0.800194,0.0534601
125,50,15,0.400539,0.215873,0.800101,0.0532742
126,50,15,0.400486,0.2159,0.800008,0.0530887
127,50,15,0.400432,0.215927,0.799914,0.0529035
128,50,15,0.400379,0.215954,0.79982,0.0527186
129,50,15,0.400326,0.215981,0.799725,0.0525341
130,50,15,0.400273,0.216008,0.79963,0.0523496
131,50,15,0.40022,0.216035,0.799535,0.0521654
132,50,15,0.400167,0.216061,0.79944,0.0519815
133,50,15,0.400114,0.216088,0.799344,0.0517979
134,50,15,0.400061,0.216115,0.799249,0.0516145
135,50,15,0.400007,0.216142,0.799153,0.0514313
136,50,15,0.399954,0.216168,0.799057,0.0512481
137,50,15,0.399901,0.216195,0.798961,0.0510653
138,50,15,0.399848,0.216221,0.798865,0.050883
139,50,15,0.399794,0.216248,0.798768,0.0507007
140,50,15,0.399741,0.216274,0.798672,0.0505187
141,50,15,0.399688,0.216301,0.798575,0.0503367
142,50,15,0.399634,0.216327,0.798479,0.0501549
143,50,15,0.399581,0.216354,0.798383,0.0499734
144,50,15,0.399528,0.21638,0.798286,0.0497922
145,50,15,0.399474,0.216406,0.798189,0.0496111
146,50,15,0.399421,0.216433,0.798091,0.0494303
147,50,15,0.399368,0.216459,0.797994,0.0492498
148,50,15,0.399314,0.216486,0.797897,0.0490694
149,50,15,0.399261,0.216512,0.797799,0.0488891
150,50,15,0.399207,0.216538,0.797701,0.0487089
151,50,15,0.399153,0.216565,0.797603,0.0485293
152,50,15,0.3991,0.216591,0.797505,0.04835
153,50,15,0.399046,0.216617,0.797407,0.0481711
154,50,15,0.398992,0.216643,0.797308,0.0479923
155,50,15,0.398938,0.21667,0.79721,0.0478138
156,50,15,0.398884,0.216696,0.797111,0.0476357
157,50,15,0.398831,0.216722,0.797012,0.0474579
158,50,15,0.398777,0.216748,0.796913,0.0472804
159,50,15,0.398723,0.216775,0.796814,0.0471032
160,50,15,0.398669,0.216801,0.796714,0.0469261
161,50,15,0.398615,0.216827,0.796614,0.0467493
162,50,15,0.398561,0.216853,0.796514,0.0465727
163,50,15,0.398507,0.216879,0.796414,0.0463967
164,50,15,0.398452,0.216905,0.796313,0.0462209
165,50,15,0.398398,0.216931,0.796213,0.0460454
166,50,15,0.398344,0.216957,0.796112,0.0458701
167,50,15,0.39829,0.216983,0.796011,0.045695
168,50,15,0.398236,0.217009,0.79591,0.0455205
169,50,15,0.398182,0.217035,0.795809,0.0453462
170,50,15,0.398128,0.217061,0.795707,0.0451722
171,50,15,0.398073,0.217087,0.795606,0.0449983
172,50,15,0.398019,0.217113,0.795503,0.0448248
173,50,15,0.397965,0.217138,0.795401,0.0446517
174,50,15,0.39791,0.217164,0.795299,0.0444791
175,50,15,0.397856,0.21719,0.795196,0.044307
176,50,15,0.397802,0.217216,0.795093,0.0441356
177,50,15,0.397748,0.217241,0.79499,0.0439646
178,50,15,0.397693,0.217267,0.794887,0.0437941
179,50,15,0.397639,0.217293,0.794784,0.043624
180,50,15,0.397585,0.217318,0.794682,0.0434546
181,50,15,0.39753,0.217344,0.794579,0.0432854
182,50,15,0.397476,0.217369,0.794476,0.0431169
183,50,15,0.397422,0.217394,0.794372,0.0429487
184,50,15,0.397367,0.21742,0.794269,0.042781
185,50,15,0.397313,0.217445,0.794165,0.0426136
186,50,15,0.397258,0.21747,0.794061,0.0424469
187,50,15,0.397204,0.217495,0.793956,0.0422803
188,50,15,0.397149,0.217521,0.793851,0.0421141
189,50,15,0.397095,0.217546,0.793745,0.0419481
190,50,15,0.39704,0.217571,0.793639,0.0417825
191,50,15,0.396985,0.217596,0.793533,0.0416171
192,50,15,0.396931,0.217621,0.793427,0.041452
193,50,15,0.396876,0.217646,0.79332,0.0412874
194,50,15,0.396821,0.217671,0.793214,0.0411232
195,50,15,0.396766,0.217695,0.793107,0.0409597
196,50,15,0.396711,0.21772,0.792999,0.0407967
197,50,15,0.396657,0.217745,0.792892,0.0406344
198,50,15,0.396602,0.217769,0.792784,0.0404729
199,50,15,0.396547,0.217793,0.792675,0.0403116
200,50,15,0.396492,0.217818,0.792567,0.040151
201,50,15,0.396438,0.217842,0.792458,0.0399909
202,50,15,0.396383,0.217866,0.792349,0.0398317
203,50,15,0.396328,0.21789,0.79224,0.0396732
204,50,15,0.396273,0.217914,0.792131,0.0395152
205,50,15,0.396218,0.217938,0.792021,0.039358
206,50,15,0.396164,0.217962,0.791911,0.0392011
207,50,15,0.396109,0.217986,0.791801,0.0390449
208,50,15,0.396054,0.21801,0.791691,0.0388896
209,50,15,0.395999,0.218033,0.791581,0.0387351
210,50,15,0.395944,0.218057,0.79147,0.0385815
211,50,15,0.395889,0.21808,0.79136,0.0384287
212,50,15,0.395835,0.218104,0.79125,0.0382764
213,50,15,0.39578,0.218127,0.791139,0.0381248
214,50,15,0.395725,0.218151,0.791028,0.0379737
215,50,15,0.39567,0.218174,0.790918,0.0378229
216,50,15,0.395615,0.218198,0.790807,0.0376726
217,50,15,0.39556,0.218221,0.790695,0.0375232
218,50,15,0.395505,0.218244,0.790584,0.0373743
219,50,15,0.39545,0.218267,0.790472,0.0372257
220,50,15,0.395395,0.21829,0.79036,0.0370777
221,50,15,0.39534,0.218313,0.790249,0.0369301
222,50,15,0.395285,0.218336,0.790137,0.0367835
223,50,15,0.39523,0.218359,0.790025,0.0366375
224,50,15,0.395175,0.218381,0.789913,0.0364925
225,50,15,0.39512,0.218404,0.7898,0.0363479
226,50,15,0.395064,0.218426,0.789687,0.036204
227,50,15,0.395009,0.218449,0.789573,0.0360608
228,50,15,0.394954,0.218471,0.789459,0.0359181
229,50,15,0.394899,0.218493,0.789345,0.035776
230,50,15,0.394844,0.218515,0.789231,0.035635
231,50,15,0.394789,0.218537,0.789117,0.0354947
232,50,15,0.394734,0.218559,0.789002,0.0353552
233,50,15,0.394679,0.21858,0.788888,0.0352163
234,50,15,0.394624,0.218602,0.788773,0.0350781
235,50,15,0.394569,0.218623,0.788658,0.0349407
236,50,15,0.394514,0.218644,0.788543,0.0348041
237,50,15,0.394459,0.218666,0.788428,0.0346686
238,50,15,0.394404,0.218687,0.788313,0.034534
239,50,15,0.39435,0.218708,0.788198,0.0344001
240,50,15,0.394295,0.218729,0.788082,0.0342672
241,50,15,0.39424,0.21875,0.787967,0.0341353
242,50,15,0.394185,0.21877,0.787851,0.0340041
243,50,15,0.394131,0.218791,0.787735,0.0338736
244,50,15,0.394076,0.218811,0.787618,0.0337442
245,50,15,0.394021,0.218831,0.787501,0.033616
246,50,15,0.393967,0.218852,0.787384,0.0334885
247,50,15,0.393912,0.218872,0.787266,0.0333622
248,50,14,0.40367,0.223364,0.787149,0.0332372
249,50,14,0.403617,0.223384,0.787031,0.0331133
250,50,14,0.403564,0.223404,0.786913,0.03299
251,50,14,0.403511,0.223423,0.786794,0.0328679
252,50,14,0.403458,0.223443,0.786676,0.0327466
253,50,14,0.403406,0.223462,0.786557,0.0326266
254,50,14,0.403353,0.223481,0.786438,0.0325072
255,50,14,0.4033,0.2235,0.786318,0.0323886
256,50,14,0.403248,0.223519,0.786198,0.0322713
257,50,14,0.403195,0.223537,0.786078,0.0321552
258,50,14,0.403142,0.223555,0.785957,0.0320398
259,50,14,0.40309,0.223573,0.785836,0.0319259
260,50,14,0.403037,0.223591,0.785715,0.0318134
261,50,14,0.402985,0.223609,0.785594,0.0317018
262,50,14,0.402932,0.223627,0.785472,0.0315915
263,50,14,0.40288,0.223644,0.785351,0.0314823
264,50,14,0.402827,0.223661,0.785229,0.0313739
265,50,14,0.402775,0.223679,0.785107,0.031267
266,50,14,0.402723,0.223696,0.784985,0.0311616
267,50,14,0.402671,0.223712,0.784862,0.0310572
268,50,14,0.402619,0.223729,0.784739,0.0309543
269,50,14,0.402567,0.223745,0.784616,0.0308525
270,50,14,0.402515,0.223762,0.784492,0.0307515
271,50,14,0.402463,0.223778,0.784369,0.0306517
272,50,14,0.402411,0.223794,0.784245,0.0305531
273,50,14,0.402359,0.22381,0.784122,0.0304562
274,50,14,0.402307,0.223825,0.783998,0.0303608
275,50,14,0.402255,0.22384,0.783873,0.0302663
276,50,14,0.402204,0.223856,0.783748,0.0301729
277,50,14,0.402152,0.223871,0.783623,0.0300808
278,50,14,0.402101,0.223886,0.783498,0.0299904
279,50,14,0.402049,0.2239,0.783373,0.0299012
280,50,14,0.401998,0.223915,0.783248,0.0298136
281,50,14,0.401947,0.223929,0.783122,0.0297274
282,50,14,0.401895,0.223944,0.782997,0.029643
283,50,14,0.401845,0.223958,0.782871,0.0295601
284,50,14,0.401794,0.223971,0.782744,0.029479
285,50,14,0.401743,0.223985,0.782618,0.0293995
286,50,14,0.401693,0.223998,0.782491,0.0293215
287,50,14,0.401642,0.224011,0.782364,0.0292454
288,50,14,0.401592,0.224024,0.782237,0.0291706
289,50,14,0.401542,0.224037,0.78211,0.0290974
290,50,14,0.401491,0.22405,0.781982,0.0290253
291,50,14,0.401441,0.224062,0.781854,0.0289552
292,50,14,0.401391,0.224074,0.781726,0.0288863
293,50,14,0.401341,0.224086,0.781598,0.0288194
294,50,14,0.401291,0.224097,0.78147,0.028754
295,50,14,0.401241,0.224108,0.781341,0.0286906
296,50,14,0.401191,0.224119,0.781212,0.0286289
297,50,14,0.401141,0.22413,0.781083,0.0285684
298,50,14,0.401092,0.224141,0.780954,0.0285092
299,50,14,0.401043,0.224152,0.780825,0.0284513
300,50,14,0.400994,0.224163,0.780695,0.0283954
301,50,14,0.400945,0.224173,0.780566,0.0283408
302,50,14,0.400896,0.224183,0.780437,0.0282881
303,50,14,0.400847,0.224193,0.780307,0.028237
304,50,14,0.400798,0.224203,0.780177,0.0281877
305,50,14,0.400749,0.224212,0.780046,0.0281396
306,50,14,0.4007,0.224222,0.779915,0.0280927
307,50,14,0.400652,0.22423,0.779784,0.0280477
308,50,14,0.400603,0.224239,0.779653,0.0280046
309,50,14,0.400554,0.224248,0.779521,0.0279627
310,50,14,0.400506,0.224256,0.779389,0.0279224
311,50,14,0.400457,0.224264,0.779257,0.0278839
312,50,14,0.400409,0.224272,0.779125,0.0278471
313,50,14,0.40036,0.22428,0.778992,0.0278123
314,50,14,0.400312,0.224287,0.77886,0.027779
315,50,14,0.400264,0.224295,0.778727,0.0277478
316,50,14,0.400216,0.224302,0.778594,0.0277182
317,50,14,0.400169,0.224308,0.778462,0.02769
318,50,14,0.400121,0.224315,0.778329,0.0276638
319,50,14,0.400073,0.224321,0.778196,0.0276389
320,50,14,0.400026,0.224327,0.778063,0.0276163
321,50,14,0.399978,0.224333,0.77793,0.027595
322,50,14,0.399931,0.224339,0.777796,0.0275758
323,50,14,0.399884,0.224344,0.777662,0.0275588
324,50,14,0.399837,0.22435,0.777528,0.0275432
325,50,14,0.39979,0.224354,0.777394,0.0275296
326,50,14,0.399744,0.224359,0.77726,0.0275179
327,50,14,0.399697,0.224364,0.777125,0.0275077
328,50,14,0.399651,0.224368,0.77699,0.0274989
329,50,14,0.399605,0.224372,0.776855,0.0274924
330,50,14,0.399559,0.224376,0.77672,0.0274872
331,50,14,0.399513,0.224379,0.776584,0.0274839
332,50,14,0.399467,0.224383,0.776449,0.027482
333,50,14,0.399421,0.224386,0.776313,0.0274824
334,50,14,0.399376,0.224389,0.776177,0.0274845
335,50,14,0.39933,0.224391,0.776042,0.0274887
336,50,14,0.399285,0.224394,0.775906,0.0274951
337,50,14,0.39924,0.224396,0.77577,0.0275029
338,50,15,0.397911,0.216842,0.775634,0.0275123
339,50,14,0.39915,0.2244,0.775498,0.0275238
340,50,15,0.39784,0.216844,0.775362,0.0275366
341,50,14,0.39906,0.224402,0.775226,0.0275516
342,50,15,0.397769,0.216845,0.775089,0.027568
343,50,14,0.398971,0.224404,0.774952,0.0275865
344,50,15,0.397699,0.216845,0.774815,0.0276069
345,50,14,0.398883,0.224405,0.774677,0.0276288
